Food_Name,Protein_Value,Fat_Value
"Egg, white, dried",79.9,0.65
"Flour, soy, defatted",51.1,3.33
"Egg, whole, dried",48.1,39.8
"Pork, cured, bacon, cooked, restaurant",40.9,36.5
"Flour, soy, full-fat",38.6,20.7
"Egg, yolk, dried",34.2,55.5
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",32.1,3.24
"Beans, Dry, Great Northern, 446 (0% moisture)",31.6,1.19
"Beans, Dry, Pinto, 468 (0% moisture)",30.8,1.24
"Beans, Dry, Great Northern, 579 (0% moisture)",30.5,1.21
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 15, lowerchoice",30.4,8.45
"Cheese, parmesan, grated, refrigerated",30.13912,31.89
"Seeds, pumpkin seeds (pepitas), raw",29.9079,40.03
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 26, lowerchoice",29.9,7.83
"Cheese, parmesan, grated",29.6,28.0
"Beans, Dry, Pinto, 787 (0% moisture)",29.4,1.0
"Beans, Dry, Pinto, 465 (0% moisture)",29.4,1.27
"Beans, Dry, Great Northern, 581 (0% moisture)",29.4,1.27
"Beans, Dry, Pinto, 11F-8114 (0% moisture)",29.2,1.58
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 16, select",29.1,4.22
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 10, select",29.1,5.15
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 18, select",28.9,5.1
"Beans, Dry, Navy, 554 (0% moisture)",28.9,1.18
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 11, select",28.8,5.09
"Beans, Dry, Great Northern, 828 (0% moisture)",28.8,1.36
"Beans, Dry, Great Northern, 726 (0% moisture)",28.7,1.24
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 9, lowerchoice",28.6,7.68
"Beans, Dry, Great Northern, 827 (0% moisture)",28.6,1.16
"Beans, Dry, Great Northern, 235 (0% moisture)",28.6,1.32
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 8, lowerchoice",28.5,7.44
"Beans, Dry, Pinto, 793 (0% moisture)",28.5,1.17
"Beans, Dry, Small Red, 419 (0% moisture)",28.4,1.19
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 25, upperchoice",28.3,10.2
"Beans, Dry, Great Northern, 315 (0% moisture)",28.3,1.36
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 13, upperchoice",28.2,11.0
"Beans, Dry, Small Red, 799 (0% moisture)",28.2,1.13
"Beans, Dry, Tan, 11F-8175 (0% moisture)",28.1,1.19
"Beans, Dry, Great Northern, 594 (0% moisture)",28.1,1.22
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 6, upperchoice",28.0,10.8
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 21, lowerchoice",28.0,11.0
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 7, upperchoice",27.9,8.75
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 33, lowerchoice",27.9,11.1
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 14, lowerchoice",27.9,8.79
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 12, upperchoice",27.9,11.3
"Beans, Dry, Small Red, 674 (0% moisture)",27.9,1.1
"Beans, Dry, Pinto, 773 (0% moisture)",27.9,1.22
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 29, select",27.8,7.98
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 28, select",27.8,3.85
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 22, select",27.8,5.64
"Beans, Dry, Pinto, 506 (0% moisture)",27.8,1.33
